Unit,plot,Position,Species,N15.corrected,Location,ID,REALGrowth,ID2,myc.species.type,myc.legacy.type
14,7,Center,TIAM,3.911556885,14_7,14_7.Center.TIAM,-18.87593808,14_7.TIAM,EcM,EcM
14,7,Edge,ACRU,1.104578637,14_7,14_7.Edge.ACRU,11.76018219,14_7.ACRU,AM,EcM
14,7,Edge,ACSA,2.120477932,14_7,14_7.Edge.ACSA,0.470303503,14_7.ACSA,AM,EcM
14,7,Edge,BELE,4.827984524,14_7,14_7.Edge.BELE,29.7181324,14_7.BELE,EcM,EcM
14,7,Edge,CACO,1.865093829,14_7,14_7.Edge.CACO,-0.020420335,14_7.CACO,EcM,EcM
14,7,Edge,NYSY,4.676815332,14_7,14_7.Edge.NYSY,-0.1884954,14_7.NYSY,AM,EcM
14,7,Edge,PRSE,3.836885096,14_7,14_7.Edge.PRSE,65.64570472,14_7.PRSE,AM,EcM
14,7,Edge,QURU,5.945458028,14_7,14_7.Edge.QURU,88.48680934,14_7.QURU,EcM,EcM
14,7,Edge,TIAM,3.366172938,14_7,14_7.Edge.TIAM,-0.758282586,14_7.TIAM,EcM,EcM
2,5,Center,ACRU,4.182725011,2_5,2_5.Center.ACRU,31.04610868,2_5.ACRU,AM,AM
2,9,Center,QURU,3.497260087,2_9,2_9.Center.QURU,12.49971554,2_9.QURU,EcM,EcM
3,5,Center,QURU,2.87217707,3_5,3_5.Center.QURU,2.310050397,3_5.QURU,EcM,AM
8,1,Center,QURU,3.026166577,8_1,8_1.Center.QURU,48.20863355,8_1.QURU,EcM,AM
