Plot.Myc.Legacy,Species.Myc.Type,Unit,Position,Species,Identifier.1,corrected.percent.C,corrected.percent.N,C:N,C13.corrected,N15.corrected
AM,EcM,10_5,Center,BELE,10_5 C BELE,49.43673026,3.215481364,15.37459704,-29.81722957,1.813207561
AM,EcM,10_5,Center,CACO,10_5 C CACO,48.45159131,2.641492972,18.34250245,-28.88766065,1.215500393
AM,EcM,10_5,Center,CACO,10_5 C CACO,48.24873157,2.600235062,18.55552687,-28.96386,1.224388519
AM,EcM,10_5,Edge,CACO,10_5 E CACO,48.29997657,2.689874698,17.95621804,-28.33989405,1.853561184
AM,EcM,10_5,Edge,CACO,10_5 E CACO,48.65020465,2.907719852,16.73139337,-28.88174577,0.992736438
AM,AM,10_5,Center,ACRU,10_5 C ACRU,49.7515605,2.669142965,18.6395263,-32.07090125,2.699792924
AM,AM,10_5,Center,ACRU,10_5 C ACRU,50.18409546,2.282478596,21.9866664,-31.98691308,-0.004944426
AM,AM,10_5,Center,ACRU,10_5 C ACRU,50.56011761,2.678565045,18.87582223,-30.47103851,2.080531624
AM,AM,10_5,Center,ACRU,10_5 C ACRU,49.85399904,2.947118416,16.91618456,-30.67648144,4.400180691
AM,AM,10_5,Edge,PRSE,10_5 E PRSE,50.20314363,4.355305772,11.526893,-30.3587986,1.36069239
AM,AM,10_5,Edge,PRSE,10_5 E PRSE,49.84106694,4.334151378,11.49961379,-30.01143496,1.382652827
AM,AM,10_5,Edge,PRSE,10_5 E PRSE,49.50480968,4.260956121,11.61823973,-30.41530245,1.708495938
AM,EcM,8_1,Center,QURU,8_1 C QURU,46.90659448,2.751819845,17.04566328,-27.72350979,2.736828015
AM,EcM,8_1,Center,QURU,8_1 C QURU,47.9568172,2.835109759,16.91533001,-28.21388043,4.622486042
AM,EcM,8_1,Center,QURU,8_1 C QURU,46.44098702,2.432453268,19.09224224,-28.41755957,3.380523544
AM,EcM,8_1,Center,QURU,8_1 C QURU,45.67569176,2.343006702,19.49447764,-28.43534347,2.948815968
AM,EcM,8_1,Center,QURU,8_1 C QURU,47.52913953,2.93694916,16.18316727,-28.25197463,5.726562057
AM,EcM,8_1,Center,QURU,8_1 C QURU,45.92100711,2.391445323,19.20219821,-28.47654596,3.492350736
AM,EcM,8_1,Center,QURU,8_1 C CACO,47.61246726,2.730041672,17.44019798,-26.06157398,0.661542854
AM,EcM,8_1,Center,QURU,8_1 C CACO,47.7153743,2.707293527,17.624751,-26.16512316,0.640223399
EcM,AM,14_6,Edge,ACSA,14_6 E ACSA,46.91147,1.610983257,29.11977502,-30.25064114,-0.051500059
EcM,AM,14_6,Edge,ACSA,14_6 E ACSA,49.88839284,1.633685813,30.53732391,-27.91352627,-0.336746107
EcM,AM,14_6,Edge,ACSA,14_6 E ACSA,48.93087794,2.262708775,21.62491191,-27.43123925,-0.143435055
EcM,AM,14_6,Edge,ACSA,14_6 E ACSA,50.08606891,2.116297075,23.66684219,-25.91971863,-0.459388456
EcM,AM,14_6,Edge,ACSA,14_6 E ACSA,47.81402221,1.09519261,43.65809427,-30.51273644,-0.267031512
EcM,EcM,14_6,Edge,BELE,14_6 E BELE,49.80380761,1.992824272,24.99157016,-28.59051654,1.734187036
EcM,EcM,14_6,Edge,BELE,14_6 E BELE,47.66812031,2.179564083,21.8704835,-31.27578571,3.276054995
EcM,EcM,14_6,Edge,BELE,14_6 E BELE,47.6003947,2.893807583,16.44905314,-32.47187592,3.254577962
EcM,EcM,14_6,Edge,BELE,14_6 E BELE,48.16947741,1.802520762,26.72339672,-31.60848996,0.773718993
EcM,AM,14_6,Center,ACSA,14_6 C ACSA,50.09028412,2.125170424,23.57000811,-28.56660218,4.552949409
EcM,AM,14_6,Center,ACSA,14_6 C ACSA,48.54626125,2.212421464,21.94259188,-29.04094271,2.958217584
EcM,AM,14_6,Center,ACSA,14_6 C ACSA,49.79758669,2.055427295,24.2273647,-28.58298176,4.64116776
EcM,AM,14_6,Center,ACSA,14_6 C ACSA,48.16785709,2.092453748,23.01979537,-29.78335742,2.684777392
AM,EcM,2_9,Center,CACO,2_9 C CACO,48.31432131,2.095962808,23.05113484,-26.70888492,0.442
